exec_managerial,marginal_professions,other,prof_specialty,sales,tecnical_services,transport_moving,unemployed,age,workclass,education_num,marital_status,race,sex,hours_per_week,target,capital
0,0,0,0,0,0,0,0,19,1,9,1,1,1,25,0,0
0,0,0,0,1,0,0,0,31,1,10,1,1,0,38,1,0
0,0,0,1,0,0,0,0,48,1,12,1,1,0,40,0,0
0,0,0,0,0,1,0,0,31,1,5,1,1,0,43,0,0
0,0,0,1,0,0,0,0,53,1,13,1,1,0,40,0,0
0,0,0,0,0,1,0,0,24,1,13,1,1,0,50,0,0
0,0,0,0,0,0,0,0,49,1,9,0,1,1,40,0,0
0,1,0,0,0,0,0,0,25,1,9,0,1,0,35,0,0
0,0,0,1,0,0,0,0,57,0,13,1,0,0,40,1,0
0,0,0,0,0,1,0,0,53,1,9,1,1,0,38,0,0
1,0,0,0,0,0,0,0,44,1,14,0,1,1,40,0,0
0,0,1,0,0,0,0,0,41,0,11,1,1,0,40,0,0
0,0,0,1,0,0,0,0,29,1,11,0,1,0,43,0,0
1,0,0,0,0,0,0,0,25,1,10,1,0,1,40,0,0
0,0,1,0,0,0,0,0,18,1,9,0,1,1,30,0,0
0,0,0,1,0,0,0,0,47,1,15,1,1,1,60,1,-1902
1,0,0,0,0,0,0,0,50,0,13,0,1,0,55,1,0
1,0,0,0,0,0,0,0,47,1,9,0,1,0,60,0,0
0,0,0,0,0,1,0,0,43,1,10,1,1,0,40,1,0
0,0,0,0,0,1,0,0,46,1,3,1,1,0,40,0,0
0,0,1,0,0,0,0,0,35,1,11,1,1,0,40,0,0
0,0,0,0,0,0,0,0,41,1,9,1,1,0,48,0,0
0,0,0,0,0,1,0,0,30,1,9,1,1,0,40,0,5013
0,0,0,0,1,0,0,0,30,1,13,1,1,0,40,0,2407
0,0,0,0,0,0,0,1,32,1,4,0,1,0,40,0,0
0,0,0,0,0,0,1,0,48,1,9,1,1,0,40,0,0
0,0,0,1,0,0,0,0,42,1,16,1,1,0,45,1,0
0,0,0,0,0,1,0,0,29,1,10,0,1,0,58,0,0
0,0,1,0,0,0,0,0,36,1,9,1,1,0,40,0,0
0,0,0,0,0,0,0,0,28,1,10,0,1,1,40,0,0
0,0,0,0,0,0,0,0,53,1,9,1,1,1,40,1,0
1,0,0,0,0,0,0,0,49,1,10,1,1,0,50,1,0
0,0,0,0,0,0,0,1,25,1,10,0,1,0,40,0,0
0,0,0,1,0,0,0,0,19,1,10,0,1,0,32,0,0
0,0,0,0,1,0,0,0,31,1,13,0,0,1,40,0,0
0,0,0,0,1,0,0,0,29,1,13,1,1,0,70,1,0
0,0,0,0,0,1,0,0,23,1,10,0,1,0,40,0,0
0,0,0,1,0,0,0,0,79,1,10,1,1,0,20,0,0
0,0,1,0,0,0,0,0,27,1,9,0,1,0,40,0,0
0,0,0,0,0,0,0,0,40,1,12,1,1,0,40,0,0
0,0,0,0,0,0,0,1,67,1,6,1,1,0,2,0,0
0,0,1,0,0,0,0,0,18,1,7,0,1,1,22,0,0
0,1,0,0,0,0,0,0,31,0,4,1,1,0,40,0,0
0,0,0,0,1,0,0,0,18,1,9,0,1,0,30,0,0
0,0,1,0,0,0,0,0,52,1,13,1,1,0,40,0,0
0,0,1,0,0,0,0,0,46,1,9,1,1,1,40,0,0
0,0,0,0,1,0,0,0,59,1,9,1,1,0,48,0,0
0,0,1,0,0,0,0,0,44,1,9,0,1,1,40,1,14344
0,0,0,0,1,0,0,0,53,1,9,0,1,1,35,0,0
0,1,0,0,0,0,0,0,49,0,9,1,1,0,40,1,0
0,0,0,1,0,0,0,0,33,1,14,1,1,0,50,0,0
0,0,0,0,1,0,0,0,30,1,5,0,1,0,40,0,0
0,0,0,1,0,0,0,0,43,0,16,0,1,1,50,1,0
0,0,0,1,0,0,0,0,57,1,11,1,1,0,40,0,0
0,0,1,0,0,0,0,0,37,1,10,0,1,1,40,0,0
0,0,0,0,0,1,0,0,28,1,10,0,0,1,25,0,0
0,0,0,0,1,0,0,0,30,1,9,1,0,1,35,0,-1573
0,1,0,0,0,0,0,0,34,0,13,1,1,0,40,1,0
0,1,0,0,0,0,0,0,29,0,10,0,1,0,50,0,0
0,0,0,1,0,0,0,0,48,1,16,1,1,0,60,1,-1902
0,0,0,0,1,0,0,0,37,1,10,1,1,0,48,1,0
1,0,0,0,0,0,0,0,48,1,12,0,1,1,40,0,0
0,0,1,0,0,0,0,0,32,0,9,0,0,0,40,0,0
1,0,0,0,0,0,0,0,76,1,14,1,1,0,40,1,0
1,0,0,0,0,0,0,0,44,1,13,1,1,0,60,1,15024
0,0,0,1,0,0,0,0,47,1,14,0,1,1,50,0,0
0,0,0,0,0,1,0,0,20,1,10,0,1,1,40,0,0
0,0,1,0,0,0,0,0,29,1,9,0,1,0,40,0,0
0,0,1,0,0,0,0,0,32,1,9,1,1,0,40,1,7688
0,0,0,0,0,0,0,1,17,1,6,0,1,1,32,0,34095
0,1,0,0,0,0,0,0,30,1,7,0,1,0,40,0,0
0,0,0,0,0,0,0,0,31,0,9,0,1,1,40,0,0
0,1,0,0,0,0,0,0,42,1,9,1,1,0,40,0,0
0,0,0,0,1,0,0,0,24,1,13,0,1,0,40,0,0
0,0,0,1,0,0,0,0,38,1,15,1,1,0,40,1,0
0,0,1,0,0,0,0,0,56,1,9,1,1,0,50,1,-1887
0,0,0,0,1,0,0,0,28,1,10,1,1,1,25,0,4064
0,0,0,0,0,1,0,0,36,1,9,0,1,1,40,0,0
0,1,0,0,0,0,0,0,53,1,5,1,1,0,50,0,0
0,0,0,0,1,0,0,0,56,1,10,1,1,0,50,0,0
0,0,1,0,0,0,0,0,49,0,11,1,0,0,40,1,0
0,0,0,0,1,0,0,0,55,1,10,1,1,0,56,0,0
0,0,1,0,0,0,0,0,22,1,9,0,1,0,41,0,0
0,0,1,0,0,0,0,0,21,1,10,0,1,1,40,0,0
1,0,0,0,0,0,0,0,40,1,13,1,1,0,60,0,0
1,0,0,0,0,0,0,0,30,1,13,0,0,0,40,0,0
0,0,0,1,0,0,0,0,29,0,13,1,1,0,50,1,0
0,0,1,0,0,0,0,0,19,1,10,0,0,0,35,0,0
1,0,0,0,0,0,0,0,47,1,13,1,1,1,40,1,0
0,0,0,0,0,0,0,0,20,1,10,0,1,1,28,0,-1719
0,0,0,0,0,0,0,0,31,1,12,1,1,0,40,1,0
0,0,0,0,0,0,0,1,35,1,9,1,1,0,40,0,0
0,0,1,0,0,0,0,0,39,1,10,0,1,0,40,0,0
0,0,0,0,1,0,0,0,28,1,12,0,1,1,60,0,0
0,0,1,0,0,0,0,0,24,1,9,0,1,1,40,0,-1762
0,0,1,0,0,0,0,0,38,1,9,1,1,0,35,0,4386
0,0,0,0,1,0,0,0,37,1,13,1,1,0,50,0,0
0,0,0,0,0,1,0,0,46,1,12,0,0,1,36,0,0
0,0,0,1,0,0,0,0,38,0,14,1,1,0,40,1,0
0,0,1,0,0,0,0,0,43,1,9,1,1,0,60,0,0
0,0,0,0,0,0,0,0,27,1,11,1,1,1,35,0,0
0,0,0,0,1,0,0,0,20,1,10,0,1,0,20,0,0
0,0,1,0,0,0,0,0,49,1,10,1,0,0,40,1,0
0,0,1,0,0,0,0,0,61,1,9,1,1,0,40,0,0
0,0,0,0,1,0,0,0,27,1,10,0,1,1,40,0,0
0,0,1,0,0,0,0,0,19,1,10,0,1,0,30,0,0
0,0,0,1,0,0,0,0,45,1,11,0,1,1,40,1,-1564
0,0,0,0,0,1,0,0,70,1,10,0,1,0,40,0,0
0,0,0,0,0,0,1,0,31,1,9,0,0,1,30,0,0
0,0,1,0,0,0,0,0,22,1,10,1,1,0,24,0,0
0,0,1,0,0,0,0,0,36,1,9,0,1,1,24,0,0
0,0,1,0,0,0,0,0,64,1,7,1,1,0,40,0,-2179
0,0,0,0,0,0,0,1,43,1,10,0,1,1,40,0,0
0,0,0,0,0,0,0,0,47,0,10,0,1,1,38,0,0
0,0,0,0,0,0,0,0,34,1,9,0,1,1,40,0,0
1,0,0,0,0,0,0,0,33,1,13,0,0,1,40,0,0
0,0,1,0,0,0,0,0,21,1,9,0,1,0,35,0,0
0,0,0,0,0,0,0,1,52,1,9,0,1,0,45,1,0
0,0,1,0,0,0,0,0,48,1,9,1,1,0,46,0,0
0,1,0,0,0,0,0,0,23,1,13,0,1,0,40,0,0
0,0,0,0,1,0,0,0,71,1,10,0,0,0,2,0,-1816
0,0,1,0,0,0,0,0,29,1,9,0,1,0,60,0,0
0,0,1,0,0,0,0,0,42,1,13,0,0,0,50,0,0
0,0,0,0,0,0,0,1,68,1,2,0,1,1,20,0,0
0,0,1,0,0,0,0,0,25,1,9,0,1,1,40,0,0
1,0,0,0,0,0,0,0,44,1,14,0,0,1,40,0,0
1,0,0,0,0,0,0,0,28,1,9,0,0,1,40,0,0
0,0,0,0,1,0,0,0,45,1,14,1,1,0,40,1,0
0,0,1,0,0,0,0,0,36,1,10,0,1,1,40,0,0
1,0,0,0,0,0,0,0,39,0,12,0,1,0,42,0,0
0,1,0,0,0,0,0,0,46,0,14,0,1,0,40,0,0
0,1,0,0,0,0,0,0,18,1,7,0,1,0,16,0,0
0,0,0,1,0,0,0,0,66,0,11,0,1,1,20,0,0
0,0,1,0,0,0,0,0,27,1,9,0,1,0,40,0,-1980
0,1,0,0,0,0,0,0,28,0,9,1,1,0,40,0,0
0,0,0,0,1,0,0,0,51,1,10,1,1,0,40,1,-1977
0,0,1,0,0,0,0,0,27,1,13,0,1,0,50,0,0
0,0,0,1,0,0,0,0,28,0,13,1,1,0,40,1,0
0,0,0,0,1,0,0,0,27,1,9,0,1,1,25,0,0
0,0,1,0,0,0,0,0,21,1,9,0,0,0,40,0,0
0,1,0,0,0,0,0,0,34,1,9,0,0,0,40,0,0
0,0,1,0,0,0,0,0,18,1,9,0,1,0,12,0,0
0,0,0,1,0,0,0,0,33,1,13,1,1,0,65,0,0
1,0,0,0,0,0,0,0,44,0,10,1,0,0,38,1,0
0,0,0,0,0,0,0,0,43,1,10,0,1,1,40,0,0
0,0,1,0,0,0,0,0,30,1,10,0,0,0,45,0,0
0,0,0,0,0,1,0,0,40,1,4,1,1,0,40,1,0
0,0,0,0,0,0,0,0,37,0,10,1,1,0,42,1,0
0,0,0,0,0,0,0,0,34,1,9,1,0,0,40,0,0
1,0,0,0,0,0,0,0,41,1,13,0,1,1,40,0,0
0,0,0,0,0,0,0,1,53,1,13,0,1,1,50,0,0
0,0,0,1,0,0,0,0,31,1,14,1,1,1,50,0,0
0,0,0,1,0,0,0,0,58,0,16,1,1,0,1,1,0
0,0,0,0,0,1,0,0,38,1,10,0,0,1,28,0,0
0,0,0,0,0,1,0,0,24,1,10,1,1,0,40,0,0
0,0,1,0,0,0,0,0,41,0,13,1,0,0,40,0,0
0,0,0,0,0,1,0,0,47,1,10,1,1,0,45,0,0
0,0,0,0,0,1,0,0,41,0,13,1,1,0,24,0,0
0,0,0,0,0,0,1,0,23,1,3,1,1,0,40,0,0
0,0,1,0,0,0,0,0,36,1,10,0,1,0,40,0,0
1,0,0,0,0,0,0,0,40,0,14,0,1,1,55,1,14084
0,0,0,1,0,0,0,0,35,1,14,1,1,0,40,1,7298
0,0,0,0,1,0,0,0,24,1,9,0,1,0,40,0,0
0,0,0,1,0,0,0,0,26,1,14,0,1,1,40,0,-1876
0,0,0,0,0,0,0,1,19,1,9,0,1,0,40,0,0
1,0,0,0,0,0,0,0,51,1,13,1,1,0,50,1,0
0,0,0,1,0,0,0,0,42,0,10,0,1,1,40,0,-1340
0,0,0,0,0,0,0,0,37,0,9,0,1,1,35,0,0
0,0,0,0,1,0,0,0,18,1,7,0,1,1,40,0,0
0,0,1,0,0,0,0,0,36,1,13,1,0,0,36,1,7298
0,0,1,0,0,0,0,0,35,1,9,0,1,0,60,0,0
0,0,0,0,1,0,0,0,58,1,9,1,1,1,35,1,15024
0,0,0,0,1,0,0,0,17,1,7,0,1,1,12,0,0
0,0,0,0,0,0,1,0,44,0,9,1,0,0,40,0,0
0,0,1,0,0,0,0,0,37,1,9,1,1,0,40,1,0
0,0,0,0,1,0,0,0,35,1,10,0,0,1,40,0,0
0,0,1,0,0,0,0,0,60,1,9,1,0,0,40,0,0
0,0,0,0,0,1,0,0,54,1,4,1,1,0,40,1,0
1,0,0,0,0,0,0,0,37,1,13,0,0,0,60,1,0
0,0,0,0,1,0,0,0,50,1,12,0,1,1,40,0,0
0,0,0,0,1,0,0,0,38,1,13,1,1,0,50,0,0
0,0,0,1,0,0,0,0,45,1,13,1,1,0,55,0,0
0,0,1,0,0,0,0,0,25,1,6,0,1,0,40,0,0
0,1,0,0,0,0,0,0,31,1,10,1,1,0,40,0,0
0,0,0,0,0,0,0,1,64,1,2,0,1,0,40,0,0
0,0,1,0,0,0,0,0,90,1,9,0,0,0,40,0,-2206
0,0,0,0,0,0,0,0,54,1,9,1,0,0,20,0,0
0,0,0,0,0,1,0,0,53,0,1,0,1,1,35,0,0
0,0,0,0,1,0,0,0,18,1,9,0,1,1,40,0,0
0,0,0,0,0,0,0,1,60,1,6,0,0,1,10,0,0
0,1,0,0,0,0,0,0,66,1,9,1,1,0,50,0,1409
0,0,0,0,0,0,0,0,75,1,11,0,1,1,20,0,0
0,0,0,0,0,0,0,0,65,1,9,0,1,1,40,0,0
0,0,0,0,0,0,1,0,35,1,7,0,0,0,40,0,3674
0,0,0,0,1,0,0,0,41,1,9,0,0,1,38,0,0
0,0,0,0,0,0,0,0,25,1,10,0,1,0,42,0,0
0,0,1,0,0,0,0,0,33,1,10,0,0,1,40,0,0
0,0,0,1,0,0,0,0,28,1,15,0,1,0,55,1,0
0,0,1,0,0,0,0,0,59,0,9,1,1,0,40,0,0
0,0,0,0,0,0,0,0,40,0,10,0,1,1,38,0,0
1,0,0,0,0,0,0,0,41,1,13,1,1,0,50,1,0
1,0,0,0,0,0,0,0,38,0,14,1,1,0,70,1,0
0,0,0,0,0,0,1,0,23,1,9,0,1,0,40,0,0
0,0,0,1,0,0,0,0,40,1,13,1,1,0,40,1,0
0,0,1,0,0,0,0,0,41,1,9,1,1,1,20,0,0
0,1,0,0,0,0,0,0,24,0,12,1,1,0,50,0,0
0,0,0,0,0,0,0,1,20,1,10,0,1,0,20,0,0
0,0,1,0,0,0,0,0,38,1,10,0,1,0,40,0,-1741
0,0,0,0,0,0,0,0,56,1,9,1,1,0,35,0,0
0,0,0,0,0,0,0,0,58,1,9,1,1,0,45,1,0
0,0,1,0,0,0,0,0,32,1,9,0,1,1,34,0,0
0,0,0,0,0,1,0,0,40,1,12,1,1,0,60,1,-1977
0,0,0,0,0,0,0,0,45,1,9,1,1,0,40,0,0
0,0,0,1,0,0,0,0,41,1,15,1,1,1,40,1,0
0,0,0,0,0,0,0,0,42,1,13,1,0,1,40,0,0
0,0,1,0,0,0,0,0,59,0,6,0,0,1,30,0,0
0,0,0,0,0,0,0,0,19,0,10,0,1,0,40,0,0
0,0,0,0,0,0,1,0,58,1,10,0,1,0,20,0,0
0,1,0,0,0,0,0,0,42,1,9,1,0,0,40,1,0
0,0,1,0,0,0,0,0,20,1,9,0,1,1,40,0,0
0,0,1,0,0,0,0,0,32,1,9,0,1,1,30,0,0
1,0,0,0,0,0,0,0,45,1,11,0,1,1,45,0,0
0,0,1,0,0,0,0,0,50,1,4,0,1,0,40,0,0
0,0,0,1,0,0,0,0,36,1,13,0,1,1,40,0,0
0,0,0,0,1,0,0,0,45,1,9,1,1,0,60,0,0
0,0,1,0,0,0,0,0,17,1,7,0,1,0,12,0,0
0,0,0,0,1,0,0,0,59,1,10,1,1,0,40,0,4064
0,0,1,0,0,0,0,0,26,1,7,1,1,0,40,0,0
1,0,0,0,0,0,0,0,37,1,10,1,0,0,75,1,0
0,0,0,0,0,0,0,1,19,1,10,0,1,0,24,0,0
1,0,0,0,0,0,0,0,64,1,9,1,1,0,40,1,0
0,0,0,1,0,0,0,0,33,1,13,0,1,1,45,0,0
0,0,1,0,0,0,0,0,33,1,9,1,1,1,40,1,0
1,0,0,0,0,0,0,0,61,1,9,1,1,0,40,1,0
0,0,1,0,0,0,0,0,17,1,5,0,1,0,24,0,1055
0,1,0,0,0,0,0,0,50,1,14,1,1,0,98,0,2407
0,0,0,1,0,0,0,0,27,0,14,0,1,0,35,0,0
0,0,0,1,0,0,0,0,30,1,9,0,1,1,40,0,0
0,1,0,0,0,0,0,0,43,1,9,1,0,0,40,0,0
0,0,1,0,0,0,0,0,44,1,10,1,1,0,40,1,7298
1,0,0,0,0,0,0,0,35,1,10,0,1,1,40,0,0
0,0,0,0,0,1,0,0,25,1,10,0,1,1,40,0,0
0,0,0,0,0,1,0,0,24,1,10,1,1,1,48,1,7298
0,0,0,1,0,0,0,0,22,1,13,0,1,1,15,0,0
0,0,1,0,0,0,0,0,42,0,10,1,1,0,40,1,5178
0,0,0,0,1,0,0,0,34,1,12,0,0,1,45,0,0
0,0,0,1,0,0,0,0,60,1,13,0,1,1,42,0,0
0,1,0,0,0,0,0,0,21,1,9,0,1,0,40,0,0
0,0,0,0,1,0,0,0,57,0,14,1,1,0,40,1,15024
0,0,0,1,0,0,0,0,41,1,15,1,1,0,60,1,0
0,0,1,0,0,0,0,0,50,1,10,0,1,0,45,0,0
1,0,0,0,0,0,0,0,25,1,13,0,1,1,40,0,0
0,0,1,0,0,0,0,0,50,1,4,1,1,0,40,0,0
0,0,0,1,0,0,0,0,36,1,13,1,1,0,45,0,0
0,0,0,1,0,0,0,0,31,1,9,0,1,1,40,0,0
0,1,0,0,0,0,0,0,29,0,13,0,1,0,56,0,0
0,0,0,0,1,0,0,0,21,1,10,0,1,0,45,0,0
0,0,0,0,0,1,0,0,27,1,13,0,0,1,40,0,0
0,0,0,0,0,0,1,0,65,1,9,1,1,0,16,0,0
0,0,0,0,1,0,0,0,37,1,13,0,1,1,60,0,0
0,0,0,0,0,0,0,1,39,1,14,1,0,1,40,0,3464
0,0,1,0,0,0,0,0,24,1,9,0,1,0,40,0,0
0,0,0,0,1,0,0,0,38,1,9,0,1,0,80,0,0
0,0,0,0,0,0,0,0,48,1,13,1,1,0,40,1,7688
0,0,1,0,0,0,0,0,21,1,10,0,0,1,25,0,0
0,0,0,0,0,0,1,0,31,1,9,1,1,0,45,1,0
0,0,0,0,1,0,0,0,55,1,9,1,1,0,40,1,4386
0,0,0,0,0,0,0,0,24,1,10,1,0,1,40,0,0
0,0,0,0,0,0,0,0,43,1,9,0,1,1,40,0,0
0,0,0,0,0,1,0,0,26,1,12,0,1,0,45,0,0
0,0,0,1,0,0,0,0,46,1,12,0,1,1,33,0,0
0,0,0,0,0,0,0,0,35,1,12,1,1,0,40,1,0
0,1,0,0,0,0,0,0,41,1,10,1,1,0,54,1,0
0,0,0,0,1,0,0,0,26,1,13,0,1,0,40,0,0
1,0,0,0,0,0,0,0,34,1,14,1,0,0,35,1,7298
0,0,0,0,0,0,0,1,19,1,10,0,0,1,25,0,0
0,0,0,1,0,0,0,0,36,1,13,0,0,1,40,1,0
0,0,0,0,1,0,0,0,22,1,10,0,1,0,15,0,0
0,0,0,0,0,1,0,0,24,1,10,0,1,0,40,0,0
0,0,0,0,1,0,0,0,77,1,10,1,1,0,40,0,0
0,0,0,0,0,1,0,0,22,1,3,1,1,1,40,0,0
0,0,0,0,0,1,0,0,29,1,10,0,1,1,40,0,0
0,0,1,0,0,0,0,0,62,1,9,0,1,1,24,0,0
1,0,0,0,0,0,0,0,39,1,9,1,1,0,40,0,0
0,0,1,0,0,0,0,0,43,1,10,1,1,0,50,0,-1485
0,0,0,0,0,0,1,0,35,1,9,0,1,0,45,0,0
1,0,0,0,0,0,0,0,29,1,7,0,1,1,40,0,0
0,0,1,0,0,0,0,0,76,1,14,1,1,0,10,0,0
0,1,0,0,0,0,0,0,63,1,9,1,1,0,45,0,0
0,0,0,0,0,0,0,1,23,1,11,0,0,1,15,0,0
0,0,0,1,0,0,0,0,43,1,10,1,1,1,50,1,-1887
0,1,0,0,0,0,0,0,58,1,9,1,1,0,40,0,0
0,0,0,0,0,0,1,0,66,1,9,0,1,0,55,0,2050
0,0,1,0,0,0,0,0,41,1,10,0,0,0,45,0,0
0,0,0,0,0,0,0,0,26,1,13,0,1,0,40,0,0
0,0,1,0,0,0,0,0,47,1,11,0,1,0,40,0,0
0,0,0,0,0,0,0,0,55,0,6,1,1,0,40,0,0
0,0,0,0,0,0,1,0,53,1,9,1,1,0,40,0,0
0,0,1,0,0,0,0,0,17,1,3,0,1,0,48,0,0
0,0,1,0,0,0,0,0,30,1,9,0,1,0,40,0,0
0,0,0,1,0,0,0,0,49,1,14,0,1,0,60,0,0
0,0,0,0,1,0,0,0,19,1,9,0,0,0,30,0,0
0,0,1,0,0,0,0,0,45,1,9,1,0,0,40,0,0
0,0,0,0,1,0,0,0,26,1,12,0,1,0,40,0,0
0,0,1,0,0,0,0,0,38,1,11,1,1,0,40,1,7298
0,1,0,0,0,0,0,0,36,0,9,1,1,0,40,1,7298
0,1,0,0,0,0,0,0,33,1,9,0,1,0,20,0,0
0,1,0,0,0,0,0,0,22,0,10,0,0,1,40,0,0
0,0,0,0,1,0,0,0,43,1,13,0,1,0,42,0,0
0,0,0,0,0,0,0,1,67,1,7,1,1,0,8,0,0
0,0,0,0,0,0,0,1,30,1,11,0,1,1,40,0,0
0,0,1,0,0,0,0,0,56,1,12,0,1,0,25,0,0
0,0,0,1,0,0,0,0,31,1,13,0,1,0,25,0,0
1,0,0,0,0,0,0,0,33,1,13,1,1,0,40,1,0
0,0,1,0,0,0,0,0,26,1,9,1,1,0,40,0,0
1,0,0,0,0,0,0,0,33,1,13,1,1,0,40,1,0
0,0,0,0,0,0,1,0,46,0,7,1,1,0,30,0,0
0,0,0,0,0,0,0,1,59,1,13,1,1,0,40,1,0
0,0,0,0,0,0,0,0,38,0,9,1,1,0,40,1,0
0,0,1,0,0,0,0,0,65,1,7,0,0,0,40,0,0
0,0,0,0,0,1,0,0,40,1,11,1,1,0,40,1,0
0,0,0,0,0,0,0,0,42,1,9,1,1,1,35,0,0
0,0,1,0,0,0,0,0,26,1,5,1,1,0,40,0,0
0,0,1,0,0,0,0,0,36,1,6,1,1,1,24,0,0
0,0,0,1,0,0,0,0,62,1,14,1,1,0,40,1,0
0,0,0,0,0,0,1,0,43,1,13,1,1,0,45,0,0
1,0,0,0,0,0,0,0,43,1,13,0,1,0,45,1,-1564
0,0,0,0,1,0,0,0,22,1,9,0,1,0,55,0,0
0,0,1,0,0,0,0,0,28,1,9,1,1,0,40,0,0
0,0,0,0,1,0,0,0,56,1,10,1,1,0,45,0,0
0,0,0,0,1,0,0,0,22,1,12,0,1,1,15,0,0
1,0,0,0,0,0,0,0,57,1,13,0,1,1,45,1,0
0,0,0,0,1,0,0,0,39,1,9,0,1,1,40,0,0
0,0,0,0,0,0,0,0,26,0,10,0,1,1,15,0,0
0,0,1,0,0,0,0,0,17,1,7,0,1,0,10,0,0
0,0,0,0,0,1,0,0,40,0,11,1,1,0,38,1,0
0,0,0,0,0,1,0,0,45,1,9,1,0,0,40,0,0
0,0,1,0,0,0,0,0,44,1,9,0,0,0,40,0,0
0,0,0,0,0,0,0,0,20,0,10,0,1,1,10,0,0
0,0,1,0,0,0,0,0,33,1,9,1,1,1,40,0,0
0,0,0,0,1,0,0,0,23,1,10,0,1,0,40,0,0
1,0,0,0,0,0,0,0,46,1,14,0,1,0,30,0,0
0,0,0,0,1,0,0,0,38,1,9,1,1,0,50,0,0
0,0,0,0,0,0,1,0,54,1,9,0,1,0,40,0,0
0,0,1,0,0,0,0,0,46,1,3,0,1,1,45,0,-2339
0,0,1,0,0,0,0,0,25,1,10,1,1,0,40,0,0
0,0,0,0,1,0,0,0,46,1,10,0,1,1,40,0,0
0,0,0,0,0,0,1,0,36,0,10,1,1,1,40,0,0
0,0,1,0,0,0,0,0,23,1,9,0,1,1,25,0,0
0,0,0,0,0,1,0,0,29,1,9,0,1,0,40,0,0
0,0,0,0,0,0,0,0,44,1,10,1,1,1,6,1,-2415
0,0,0,0,0,0,0,0,19,1,10,0,1,1,16,0,0
0,0,1,0,0,0,0,0,19,1,9,0,1,1,40,0,0
0,0,1,0,0,0,0,0,35,1,9,1,1,1,40,1,0
0,0,1,0,0,0,0,0,27,1,13,0,1,0,50,0,0
0,0,1,0,0,0,0,0,46,1,12,0,1,0,40,0,0
1,0,0,0,0,0,0,0,34,0,13,1,1,0,45,1,7688
0,0,1,0,0,0,0,0,34,1,9,0,1,1,35,0,0
0,0,0,0,0,1,0,0,44,1,10,1,1,0,40,0,0
0,1,0,0,0,0,0,0,45,1,10,0,1,1,40,0,0
0,0,0,0,0,0,0,1,20,1,9,0,1,1,35,0,0
1,0,0,0,0,0,0,0,25,1,13,1,1,0,55,1,0
1,0,0,0,0,0,0,0,52,1,13,1,1,0,50,1,0
0,1,0,0,0,0,0,0,20,1,10,0,1,0,40,0,0
0,0,1,0,0,0,0,0,28,1,10,0,1,1,40,0,0
0,1,0,0,0,0,0,0,50,0,13,1,1,0,40,1,0
0,0,0,0,0,1,0,0,34,1,11,0,1,1,64,0,0
